series,circuit,circuit_canonical,car_class,year,race_laps,green_pace_s,net_slope_s,pit_loss_s,fuel_range_laps,min_stops,optimal_stops,fuel_limited,stint_pattern_matches_naive,breakeven_slope_s,slope_headroom_x,median_s,p10_s,p90_s,band_s,band_with_traffic_s,traffic_sd_s
imsa,daytona,daytona,GTP,2026,705,98.7,0.0233,28.5,33,21,21,True,False,0.063,2.7,76877.0,74587.0,80247.0,5660.0,5656.0,0.0358
imsa,detroit,detroit,GTP,2026,82,67.9,0.0032,8.0,50,1,1,True,False,0.018,5.6,5806.0,5579.0,6176.0,597.0,599.0,0.2266
imsa,indianapolis,indianapolis,GTP,2025,243,78.9,0.013,72.0,49,4,4,True,False,0.078,6.0,20702.0,20005.0,21591.0,1585.0,1598.0,0.2506
imsa,laguna_seca,laguna_seca,GTP,2026,119,77.3,0.0241,10.4,46,2,3,False,False,0.024,1.0,9677.0,9323.0,10184.0,861.0,858.0,0.2948
imsa,long_beach,long_beach,GTP,2026,70,74.7,-0.0127,44.7,45,1,1,True,True,0.11,,5450.0,5252.0,5778.0,526.0,528.0,0.1628
imsa,mosport,mosport,GTP,2023,120,69.7,0.0002,56.9,50,2,2,True,False,0.095,555.5,9094.0,8556.0,9868.0,1312.0,1312.0,0.0
imsa,road_america,road_america,GTP,2025,66,114.0,0.0174,50.5,24,2,2,True,False,0.282,16.2,8071.0,7632.0,8855.0,1223.0,1222.0,0.2018
imsa,road_atlanta,road_atlanta,GTP,2025,435,74.5,0.0204,71.5,51,8,8,True,False,0.07,3.4,35531.0,34467.0,36959.0,2492.0,2500.0,0.1688
imsa,sebring,sebring,GTP,2026,343,111.7,0.0022,69.0,32,10,10,True,False,0.157,72.3,41445.0,40208.0,43043.0,2835.0,2844.0,0.0843
imsa,watkins_glen,watkins_glen,GTP,2026,182,97.0,0.0271,37.3,38,4,4,True,False,0.072,2.7,19324.0,18353.0,20690.0,2337.0,2334.0,0.1065
imsa,canadian_tire_motorsport_park,mosport,GTD,2026,118,78.1,0.0109,10.6,52,2,2,True,False,0.021,1.9,9541.0,9302.0,9869.0,567.0,567.0,0.0
imsa,daytona,daytona,GTD,2026,660,108.9,0.0362,71.5,33,19,19,True,True,0.141,3.9,78813.0,76902.0,81604.0,4702.0,4735.0,0.0358
