series,circuit,circuit_canonical,car_class,adj_swap_rate,sd_across_races,n_races,n_transitions,p_hold_15_laps
imsa,Daytona,Daytona,GTP,0.0391,0.007,4,2585,0.55
imsa,Detroit,Detroit,GTP,0.0335,0.0068,3,193,0.6
imsa,Indianapolis,Indianapolis,GTP,0.0366,0.0127,3,451,0.572
imsa,Laguna Seca,Laguna Seca,GTP,0.0331,0.0065,4,412,0.604
imsa,Long Beach,Long Beach,GTP,0.0188,0.0094,4,227,0.752
imsa,Mosport,Mosport,GTP,0.0217,0.0,1,99,0.719
imsa,Road America,Road America,GTP,0.0507,0.025,3,152,0.458
imsa,Road Atlanta,Road Atlanta,GTP,0.0219,0.0028,3,1088,0.718
imsa,Sebring,Sebring,GTP,0.0341,0.007,4,1111,0.595
imsa,Watkins Glen,Watkins Glen,GTP,0.0395,0.0144,4,514,0.546
wec,Bahrain,Bahrain,HYPERCAR,0.0249,0.015,4,891,0.685
wec,COTA,COTA,HYPERCAR,0.0378,0.0166,2,254,0.561
wec,Fuji,Fuji,HYPERCAR,0.0242,0.0142,4,795,0.692
wec,Imola,Imola,HYPERCAR,0.036,0.0029,3,595,0.577
wec,Interlagos,Interlagos,HYPERCAR,0.0266,0.0112,2,469,0.668
wec,Le Mans,Le Mans,HYPERCAR,0.0214,0.0116,3,1028,0.722
wec,Losail,Losail,HYPERCAR,0.0179,0.0,1,300,0.762
wec,Monza,Monza,HYPERCAR,0.0144,0.0,1,126,0.804
wec,Portimao,Portimao,HYPERCAR,0.0131,0.0,1,213,0.82
wec,Sebring,Sebring,HYPERCAR,0.0049,0.001,2,310,0.929
wec,Spa,Spa,HYPERCAR,0.0397,0.0072,5,524,0.545
